id,customerId,amount,currency,status,timestamp,items
2001,1001,2499,USD,delivered,1577836800,"[{""productId"":5001,""quantity"":1,""pricePerUnit"":2499,""productName"":""Laptop""}]"
2002,1002,899,USD,shipped,1577923200,"[{""productId"":5002,""quantity"":2,""pricePerUnit"":449,""productName"":""Headphones""}]"
2003,1003,1599,USD,pending,1578009600,"[{""productId"":5003,""quantity"":1,""pricePerUnit"":1599,""productName"":""Monitor""}]"
2004,1001,299,USD,delivered,1578096000,"[{""productId"":5004,""quantity"":1,""pricePerUnit"":299,""productName"":""Keyboard""}]"
2005,1004,1299,USD,confirmed,1578182400,"[{""productId"":5005,""quantity"":1,""pricePerUnit"":1299,""productName"":""Tablet""}]"
2006,1005,699,USD,shipped,1578268800,"[{""productId"":5006,""quantity"":1,""pricePerUnit"":699,""productName"":""Phone Case""}]"
2007,1006,3999,USD,delivered,1578355200,"[{""productId"":5007,""quantity"":1,""pricePerUnit"":3999,""productName"":""Desktop PC""}]"
2008,1007,149,USD,cancelled,1578441600,"[{""productId"":5008,""quantity"":3,""pricePerUnit"":49,""productName"":""USB Cable""}]"
2009,1008,2199,USD,shipped,1578528000,"[{""productId"":5009,""quantity"":1,""pricePerUnit"":2199,""productName"":""Camera""}]"
2010,1009,599,USD,delivered,1578614400,"[{""productId"":5010,""quantity"":2,""pricePerUnit"":299,""productName"":""Mouse""}]"
2011,1010,1899,USD,confirmed,1578700800,"[{""productId"":5011,""quantity"":1,""pricePerUnit"":1899,""productName"":""Printer""}]"
2012,1002,399,USD,delivered,1578787200,"[{""productId"":5012,""quantity"":1,""pricePerUnit"":399,""productName"":""Webcam""}]"
2013,1011,799,USD,shipped,1578873600,"[{""productId"":5013,""quantity"":1,""pricePerUnit"":799,""productName"":""Router""}]"
2014,1012,1199,USD,pending,1578960000,"[{""productId"":5014,""quantity"":1,""pricePerUnit"":1199,""productName"":""Smart Watch""}]"
2015,1003,2999,USD,delivered,1579046400,"[{""productId"":5015,""quantity"":1,""pricePerUnit"":2999,""productName"":""Gaming Laptop""}]"
2016,1013,499,USD,confirmed,1579132800,"[{""productId"":5016,""quantity"":2,""pricePerUnit"":249,""productName"":""External Drive""}]"
2017,1014,199,USD,refunded,1579219200,"[{""productId"":5017,""quantity"":1,""pricePerUnit"":199,""productName"":""Power Bank""}]"
2018,1015,899,USD,shipped,1579305600,"[{""productId"":5018,""quantity"":1,""pricePerUnit"":899,""productName"":""Bluetooth Speaker""}]"
2019,1016,1599,USD,delivered,1579392000,"[{""productId"":5019,""quantity"":1,""pricePerUnit"":1599,""productName"":""Graphics Card""}]"
2020,1017,349,USD,cancelled,1579478400,"[{""productId"":5020,""quantity"":1,""pricePerUnit"":349,""productName"":""Mechanical Keyboard""}]"
